title,authors,rating,tags,publisher,pubdate,languages,comments,isbn,identifiers,uuid
"Batman: Earth One Vol. 2","Geoff Johns","","Comics & Graphic Novels, Superheroes, Illustrated","DC Comics","2015-05-12T00:00:00-04:00","eng","The Dark Knight Must Answer the Greatest Riddle of All: Who is Batman? Change is coming to Gotham City. Between the death of Mayor Oswald Copplepot and the emergence of ""the Batman,"" a new dawn has begun to shed its light onto the notoriously dark and corrupt city. But even as new Mayor Jessica Dent and her twin brother District Attorney Harvey Dent join in the Dark Knight and Detective Jim Gordon's crusade against Gotham's criminal element, a new threat rises-one that enjoys playing a simple game of riddles. Answer wrong: you die. Answer correctly, and... The second installment in the #1 NEW YORK TIMES best-selling series BATMAN: EARTH ONE reteams writer Geoff Johns with artist Gary Frank and introduces readers to a bevy of Batman's most infamous foes-but with unexpected twists and turns that build an all-new, incredible mythology for one of the fictional world's most popular characters.
","9781401259518","isbn:9781401259518,google:_zKNBwAAQBAJ","b3ec08ae-0ed6-4999-bb29-698a4b3f30ee"
"Yes Please","Amy Poehler","","Biography & Autobiography, Humor, Humorous","Harper Collins","2014-10-28T00:00:00-04:00","eng","#1 New York Times Bestseller#1 Globe and Mail BestsellerA Globe Best Book of the YearA smart, pointed, and ultimately inspirational read from one of our most beloved funny folk. 
In a perfect world . . .We’d get to hang out with Amy Poehler, watching dumb movies, listening to music, and swapping tales about our coworkers and difficult childhoods. Unfortunately, between her Golden Globe–winning role on Parks and Recreation, work as a producer and director, place as one of the most beloved SNL alumni and cofounder of the Upright Citizens Brigade, involvement with the website Smart Girls at the Party, frequent turns as acting double for Meryl Streep, and her other gig as the mom of two young sons, she’s not available for movie night. Luckily, we have the next best thing: Yes Please, Amy Poehler’s hilarious and candid book. 
A collection of stories, thoughts, ideas, lists, and haiku, Yes Please took the world by storm, going straight to #1 on the New York Times bestseller list and dominating lists on both sides of the border for over 17 weeks—including multiple weeks at #1 on the Globe and Mail bestseller list. Widely acclaimed as one of the best books of the year, Yes Please cemented Amy Poehler’s place in our hearts as one of our most beloved entertainers, and in our minds as a sharp, insightful, and provocative writer. Oh, and did we mention hilarious? Truly hilarious. 
Yes Please will make you think as much as it will make you laugh. Honest, personal, real, and righteous, Yes Please is full of words to live by.
","9781443424547","google:uzJ0AwAAQBAJ,isbn:9781443424547","8843f74f-50ae-4728-b1f3-cb18589a5305"
"She's Come Undone","Wally Lamb","","Fiction, Coming of Age, Family Life, Women, Family & Relationships","Simon and Schuster","2011-04-12T00:00:00-04:00","eng","In this New York Times bestselling extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years. 
""Mine is a story of craving: an unreliable account of lusts and troubles that began, somehow, in 1956 on the day our free television was delivered...."" Meet Dolores Price. She's thirteen, wise-mouthed but wounded, having bid her childhood goodbye. Beached like a whale in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally rolls into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before really going belly up. In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years. At once a fragile girl and a hard-edged cynic, so tough to love yet so inimitably lovable, Dolores is as poignantly real as our own imperfections. She's Come Undone includes a promise: you will never forget Dolores Price.
","9781451654561","isbn:9781451654561,google:o447RLwrcgIC","96c67f7a-e553-4c61-ab71-c0874d6e4e00"
"Scarecrow Returns: A Novel","Matthew Reilly","","Fiction, Action & Adventure, Thrillers, Espionage, Suspense, Terrorism","Simon and Schuster","2012-12-26T00:00:00-04:00","eng","From the internationally bestselling author, the fourth novel in the thrilling Scarecrow series featuring “some of the wildest and most sustained battles in an action thriller in a long time…and a little bit of conspiracy"" (Chicago Tribune). 
From the internationally bestselling author, the fourth novel in the thrilling Scarecrow series featuring “some of the wildest and most sustained battles in an action thriller in a long time"" (Chicago Tribune). A Cold War doomsday device hidden deep in the Arctic. A mysterious terrorist group about to unleash havoc upon an unsuspecting world. Only one team close enough to sabotage them. Captain Shane Schofield, call sign “Scarecrow,” and his ragtag band of Marines and civilians are outnumbered and outgunned. But with only a few short hours till Armageddon, Scarecrow and his soldiers bravely undertake an edge-of-your-seat, white-knuckle adventure to save the Earth from total annihilation.
","9781416577607","isbn:9781416577607,google:5rw30bG0IhgC","c9e7ee06-2182-4895-8039-c82664fe6b86"
"Dark Celebration: Number 17 in Series","Christine Feehan","","Women, Fiction, Fantasy, Romance, Paranormal","Little, Brown Book Group","2010-04-01T00:00:00-04:00","eng","Carpathians are an immortal race of beings with animal instincts and the ability to shape shift. Every Carpathian male is drawn to a life mate: a woman - Carpathian or human - able to provide the light to his darkness. Without her, the beast within slowly consumes the man until turning into a vampire is the only option.'Mikhail Dubrinsky, Prince of the Carpathians, fears he can't protect his people from the extinction of their species - a fate that has become the wicked prayer of his enemies, who plot to slaughter all Carpathian females. Mikhail's lifemate, Raven, and their daughter, Savannah, are both vulnerable to the encroaching evil, but all is not lost. In this desperate season, Carpathian's from around the world are gathering to join their strengths, their souls and their powers. But so too are their adversaries uniting - hunters, vampires, demons and betrayers - bringing untold dangers into the fold of the Carpathian people.
","9780748116768","google:yewD0QLGoJwC,isbn:9780748116768","ff3e9220-5b6f-4af4-971b-45661bf573b6"
"Blue Dahlia: Number 1 in Series","Nora Roberts","","Fiction, Romance, Contemporary, Suspense, Thrillers, Women","Little, Brown Book Group Limited","2016-02-04T00:00:00-04:00","eng","Recently widowed, Stella Rothchild is no stranger to the ghosts of the past, but the move from Michigan back to her roots near Memphis, Tennessee is supposed to be about the future. Her two energetic young sons are thriving in their new school. Stella's got a great job managing successful nursery 'In the Garden' and an interesting boss and landlady in local legend Roz Harper. She even has a new friend in Hayley Phillips, the feisty young pregnant woman who turns up at Harper House, Stella's new home, looking for a job. More than that, Stella feels an instant attraction to 'In the Garden's' landscaper, Logan Kitridge, who gets under her skin and makes her feel truly alive for the first time in years. But there is someone at Harper House who isn't happy about Stella's growing feelings for Logan - the Harper Bride, an unidentified woman whose grief and rage have kept her spirit alive long past the death of her body. Love and loss broke her mind, and in her madness, she will stop at nothing to destroy the new passion that Logan and Stella have found.
","9780349411606","isbn:9780349411606,google:lPMPuAEACAAJ","b84aa31b-5468-47c3-85c9-60dff8c97368"
"The Strange Fascinations of Noah Hypnotik","David Arnold","","Young Adult Fiction, Magical Realism, Boys & Men, Social Themes, Friendship, Music, Coming of Age","Penguin","2019-05-21T00:00:00-04:00","eng","""As he did in his fantastic debut Mosquitoland, David Arnold again shows a knack for getting into the mind of an eccentric teenager in clever, poignant fashion. 
"" —USA Today This is Noah Oakman → sixteen, Bowie believer, concise historian, disillusioned swimmer, son, brother, friend. Then Noah → gets hypnotized. Now Noah → sees changes: his mother has a scar on her face that wasn’t there before; his old dog, who once walked with a limp, is suddenly lithe; his best friend, a lifelong DC Comics disciple, now rotates in the Marvel universe. Subtle behaviors, bits of history, plans for the future—everything in Noah’s world has been rewritten. Everything except his Strange Fascinations . . . A stunning surrealist portrait, The Strange Fascinations of Noah Hypnotik is a story about all the ways we hurt our friends without knowing it, and all the ways they stick around to save us.
","9780425288870","isbn:9780425288870,google:516UDwAAQBAJ","abb35a4a-7bb1-4a82-b5b8-e2a79f1f894c"
"Fargo Rock City","Chuck Klosterman","","Biography & Autobiography, Literary Figures, Music, Genres & Styles, Heavy Metal, History & Criticism, Rock","Scribner Book Company","2001-04-15T00:00:00-04:00","eng","The year is 1983, and Chuck Klosterman just wants to rock. The only problem is, he's in the fifth grade, his hair's too short, his pants are too denim, and the town's too small. The Huey Lewis and the News song blaring out of the radio isn't helping, either. That's when Chuck's brother arrives home with a cassette from hell -- Motley Crue's ""Shout at the Devil. 
"" And so the twisted journey begins... In this hilarious, young-man-growing-up-with-a-soundtrack tradition, ""Fargo Rock City"" chronicles Klosterman's formative years and the history of rock through the lens of '80s heavy metal. He knows what it's like to slow-dance to a Poison tune; to sleep inno- cently under satanic symbols; to confess your lust for Lita Ford; to understand that Bon Jovi sounds best in a pickup; to shoot baskets as a member of the KISS Army; to get intellectual about Guns N' Roses; and, yes, to have a nasty relationship with your first ATM card. With a voice like Ace Frehley's guitar, Chuck hacks and riffs his way through this savvy, deliriously funny memoir of growing up as a shameless metalhead in Wyndmere, North Dakota. Against all odds, he parties like a rock star. Your story may be exactly the same or completely different, but if you grew up anywhere close to the 1980s, then your life has been touched by hair metal. Chuck Klosterman is here to explain why this matters.
","9785559314341","google:YoqUPwAACAAJ,isbn:9785559314341","0e349c9e-c528-42ea-9314-1dbba910ede8"
"Dating Game: A Novel","Danielle Steel","","Fiction, Women, Sagas, Romance, Contemporary, Family & Relationships","Random House Publishing Group","2009-02-25T00:00:00-04:00","eng","In her 57th bestselling novel, Danielle Steel brilliantly chronicles the roller-coaster ride of dating the second time around—and tells a captivating story of the surprises one woman encounters when she’s thrust into the terrifying, exhilarating world of the Dating Game. Paris Armstrong never saw it coming. With two grown children and a lovely home in Connecticut, Paris was happy with her marriage, her family, her life. So when her husband of twenty-four years said they needed to talk, Paris couldn’ t imagine what he was about to say. “I want a divorce,” Peter tells her. Just like that, the husband she adored had dumped her for a younger woman. And just like that, Peter and his thirty-one-year-old lover had made their plans for their future, leaving Paris to pick up the pieces of a shattered life. Within days, Peter was gone. And Paris was left to figure out how she intended to get through the next day, let alone the rest of her life. The task could not have been more painful. First came the tears. Then the excruciating attempts by well-meaning friends to “fix her up” with men who paled in comparison to Peter. Worse yet, she still loved him. Finally, Paris realized she was in a fight for her very survival. Drastic measures were called for. Even her shrink agreed. It was time to move—as far away as possible, just after Peter remarried. Paris had never felt, or been, more alone. Saying good-bye to the world she knew and loved, Paris heads west, to San Francisco, and discovers being single in a world full of men who were too young, too old, too married, or too good to be true. For Paris, the list seemed endless...the charming commitment-phobe...the drunken Neanderthal...the young Frenchman—so adorably sexy she almost forgot about his age, and did, for a while. With her dating track record veering between disappointing and disastrous, and her daughter now engaged to a man Paris’s age, Paris finally comes to the conclusion that romance is not in her future. That’s when her small circle of offbeat, loving friends becomes more important than ever before. And a decision Paris makes only for herself changes her life once more. The secret, she discovers finally, is in finding the gifts in life’s unexpected twists and turns, and turning despair into freedom and loss into joy. In a poignant, wickedly funny novel about getting dumped and getting over it, about tackling life with both courage and laughter, Danielle Steel explores what it means to start over, whether you wanted to or not, and finding something better than you had before.
","9780307566416","google:L3_mHzgMmHMC,isbn:9780307566416","23b58c2a-1162-4101-b6f0-ac33a7a034eb"
"The Official Rules of Chess: Professional, Scholastic, Amateur & Internet Chess Rules","Eric Schiller & Richard Peterson","","Chess, Board Games, Gambling, Games & Activities, Reference, Table","Cardoza","2001-04-15T00:00:00-04:00","eng","This rule book is the essential guide to the professional, scholastic, and Internet rules of chess. Written in plain English for practical use, you'll learn everything you need to know about tournaments, rating systems, etiquette for in-person and online play, and chess notation. Special sections for students and parents answer all the frequently asked questions about competitive play. These are the rules that apply to every tournament form of chess, from scholastic competitions, to world championship play. 125 pages
","9781580420259","google:OLXnXaAARKQC,isbn:9781580420259","38bf9427-8e1d-4903-ad7a-1885c08267f1"
"The Right Way to Play Chess","D. Pritchard","","Table, Games & Activities, Reference, Board Games","Elliot Right Way","1999-11-25T00:00:00-04:00","eng","In this tenth revised version, D.B. Pritchard draws new inspiration from the latest developments in the game. Yet, because the basics remain invariable, Pritchard's teaching method retains its unique pre-eminence and authority. It is planned to take the complete beginner to the grade expected of a good club player.
","9780716020882","isbn:9780716020882,google:P69FPgAACAAJ","323099f2-9aaa-4ef4-8867-417f3a7aa15c"
"Bobby Fischer Teaches Chess","Bobby Fischer & Stuart Margulies & Don Mosenfelder","","Games & Activities, Chess, Board Games, Reference","Random House Publishing Group","1982-07-01T00:00:00-04:00","eng","A one-of-a-kind masterclass in chess from the greatest player of all time. 
Learn how to play chess the Bobby Fischer way with the fastest, most efficient, most enjoyable method ever devised. Whether you’re just learning the game or looking for more complex strategies, these practice problems and exercises will help you master the art of the checkmate. This book teaches through a programmed learning method: It asks you a question. If you give the right answer, it goes on to the next question. If you give the wrong answer, it explains why the answer is wrong and asks you to go back and try again. Thanks to the book’s unique formatting, you will work through the exercises on the right-hand side, with the correct answer hidden on the next page. The left-hand pages are intentionally printed upside-down; after reaching the last page, simply turn the book upside-down and work your way back. When you finish, not only will you be a much better chess player, you may even be able to beat Bobby Fischer at his own game!
","9780553263152","google:YXb4PTSdEfUC,isbn:9780553263152","fd76da78-96a5-4031-9987-9808667470d3"
"Poker: Official Rules and Games","World Poker Tour","","Board Games, Gambling, Games & Activities, Reference, Table","United States Playing Card Company","2002-04-15T00:00:00-04:00","eng","","9781889752273","isbn:9781889752273,google:z_11H8mM_GIC","94ad29a6-8e95-4d77-a37e-83efe8fd0377"
"Billiards, Revised and Updated: The Official Rules and Records Book","Billiards Congress Of America","","Sports & Recreation, Pool; Billiards; Snooker, Games & Activities, Gambling, Table","Rowman & Littlefield","2005-05-01T00:00:00-04:00","eng","Here in a single, compact handbook are all the rules for the myriad forms of pocket billiards. Billiards: The Official Rules and Records Book is complete with detailed instructions on how to play everything from Basic Pocket Billiards to Cut-Throat, together with the rules for tournament games such as Nine Ball and Rotation, and Snooker and Carom games. 
These are the official rules of billiards from the Billiard Congress of America, the governing body of professional billiards in the United States. 
A very helpful chapter for the beginner includes professional tips on basic techniques and strategies. Also included are a glossary of billiard terms and a summary of BCA billiards champions.
","9781461749929","isbn:9781461749929,google:MrvNCwAAQBAJ","964f5c09-2bd9-4a91-9f7e-f0191553ce22"
"Fablehaven","Brandon Mull","","Juvenile Fiction, Action & Adventure, Fantasy, Fantasy & Magic, Young Adult Fiction, Animals, Dragons; Unicorns & Mythical, Magic","Simon and Schuster","2007-04-24T00:00:00-04:00","eng","Brandon Mull’s New York Times bestselling series about siblings Seth and Kendra who discover their grandparents are the caretakers of a sanctuary for magical creatures!For centuries mystical creatures of all description were gathered into a hidden refuge called Fablehaven to prevent their extinction. The sanctuary survives today as one of the last strongholds of true magic. Enchanting? Absolutely. Exciting? You bet. Safe? Well, actually, quite the opposite. Kendra and her brother, Seth, have no idea that their grandfather is the current caretaker of Fablehaven. Inside the gated woods, ancient laws keep relative order among greedy trolls, mischievous satyrs, plotting witches, spiteful imps, and jealous fairies. However, when the rules get broken—Seth is a bit too curious and reckless for his own good—powerful forces of evil are unleashed, and Kendra and her brother face the greatest challenge of their lives. To save their family, Fablehaven, and perhaps even the world, Kendra and Seth must find the courage to do what they fear most.
","9781416947202","google:w7FfrQxhnxEC,isbn:9781416947202","a6e54cda-9445-4506-a5b7-4b903cbecca2"
"Rise of the Evening Star","Brandon Mull","","Juvenile Fiction, Action & Adventure, Fantasy, Fantasy & Magic, Young Adult Fiction, Animals, Dragons; Unicorns & Mythical, Magic","Simon and Schuster","2008-04-22T00:00:00-04:00","eng","At the end of the school year, Kendra and her brother Seth find themselves racing back to Fablehaven, a refuge for mythical and magical creatures. Grandpa Sorenson, the caretaker, invites three specialists -- a potion master, a magical relics collector, and a mystical creature trapper -- to help protect the property from the Society of the Evening Star, an ancient organization determined to infiltrate the preserve and steal a hidden artifact of great power. Time is running out. The Evening Star is storming the gates. If the artifact falls into the wrong hands, it could mean the downfall of other preserves and possibly the world. Will Kendra learn to use her fairy gifts in time? Will Seth stay out of trouble?
","9781416957706","google:bkyeDgAAQBAJ,isbn:9781416957706","1f05113c-badc-4db8-9628-9ac3f5e6e6ee"
"Grip of the Shadow Plague","Brandon Mull","","Juvenile Fiction, Action & Adventure, Fantasy, Fantasy & Magic, Young Adult Fiction, Animals, Dragons; Unicorns & Mythical, Magic","Aladdin Paperbacks","2006-04-15T00:00:00-04:00","eng","When Kendra and Seth go to stay at their grandparents' estate, they discover that it is a sanctuary for magical creatures and that a battle between good and evil is looming.
","9781935481829","isbn:9781935481829,google:2rLQYgEACAAJ","9bea62cf-b430-4a42-bbd0-775f257cb1e1"
"Secrets of the Dragon Sanctuary","Brandon Mull","","Juvenile Fiction, Action & Adventure, Fantasy, Fantasy & Magic, Young Adult Fiction, Animals, Dragons; Unicorns & Mythical, Magic","Simon and Schuster","2010-02-23T00:00:00-04:00","eng","Danger lurks everywhere at Fablehaven, where someone has released a plague that transforms beings of light into creatures of darkness. In dire need of help, the Sorensons question where to turn, now that long trusted allies have been revealed as potential foes. Kendra embarks on a special mission that only she can attempt because of her new abilities as fairykind, while Seth stays behind and discovers an incredible new talent of his own. The siblings are put to the test as the threat grows both abroad and home at the Fablehaven preserve, and Brandon Mull spins his richest and most thrilling fantasy tale yet in this third title of the popular fantasy series.
","9781416990284","isbn:9781416990284,google:qjFlYdAhCiAC","429acb9d-e34c-4dd6-a8fd-bd6809851083"
"Keys to the Demon Prison","Brandon Mull","","Juvenile Fiction, Action & Adventure, Fantasy, Fantasy & Magic, Young Adult Fiction, Animals, Dragons; Unicorns & Mythical, Magic","Simon and Schuster","2011-02-22T00:00:00-04:00","eng","Since ancient times, the great demon prison Zzyzx has protected the world from the most dangerous servants of darkness, including Gorgrog, the Demon King. After centuries of plotting, the Sphinx is on the verge of recovering the five artifacts necessary to open the legendary prison. Facing the potential of a world-ending calamity, all friends of light must unite in a final effort to thwart the Sphinx s designs and find a safe home for the five artifacts. To this end, Kendra, Seth, and the Knights of the Dawn will venture far beyond the walls of Fablehaven to strange and exotic magical preserves across the globe, where the end of every quest becomes the beginning of another. In this explosive series finale, allegiances will be confirmed and secrets revealed as the forces of light and darkness collide in a desperate struggle to control the keys to the demon prison.
","9781416990291","google:4W16EAAAQBAJ,isbn:9781416990291","039a5846-afb2-4688-a61f-57d636df7c7d"
"Percy Jackson and the Lightning Thief (Book 1)","Rick Riordan","","Juvenile Fiction, Fantasy & Magic, Action & Adventure, Legends; Myths; Fables, Greek & Roman, Monsters, Fantasy, Magic, Dragons; Unicorns & Mythical","Penguin Random House Children's UK","2008-05-01T00:00:00-04:00","eng","The first book in the bestselling Percy Jackson and the Olympians series. Now with a new cover look! Discover the story behind the Disney+ series. 
HALF BOY - HALF GOD - ALL HERO.Look, I never asked to be the son of a Greek god. I was just a normal kid. . . until I accidentally vaporized my maths teacher. 
Percy Jackson is having a bad week. His life has gone from totally normal to monsters-from-Greek-mythology-randomly-appearing kind of strange. Worse still, the king of the gods thinks Percy has stolen his all-powerful lightning bolt - and it seems making Zeus angry is a very bad idea. 
Now Percy and his friends have just ten days to catch the true lightning thief and stop all-out war from erupting on Mount Olympus. . .What could possibly go wrong?Return to the World of Percy Jackson in the best-selling, brand-new adventure featuring the original hero in Percy Jackson and the Olympians: Chalice of the Gods – out now!And don't miss the trio's next adventure in Percy Jackson and the Olympians: Wrath of the Triple Goddess, coming soon!
","9780141924403","isbn:9780141924403,google:ku9TsH3M1-YC","4b667d0c-e184-404e-acea-d4855c14a12f"
"Percy Jackson and the Sea of Monsters (Book 2)","Rick Riordan","","Juvenile Fiction, Fantasy & Magic, Action & Adventure, Legends; Myths; Fables, Greek & Roman, Monsters, Fantasy, Magic, Dragons; Unicorns & Mythical","Penguin Random House Children's UK","2008-05-01T00:00:00-04:00","eng","The second book in the bestselling Percy Jackson and the Olympians series. Now with a new cover look! Discover the story behind the Disney+ series. 
HALF BOY - HALF GOD - ALL HERO.I've almost made it a year without one of my teachers turning into a monster. Just one more day to go. Surely even I can get through that?Percy Jackson's life has been surprisingly quiet since he stopped all-out war on Mount Olympus. That is until an innocent game of dodgeball turns monstrously ugly. . .Now Camp Half-Blood - the only safe place on earth for demigods like Percy - is under attack, and unless he can find the magical Golden Fleece, everything he's come to love will be destroyed. 
Percy and his friends must journey into the Sea of Monsters to save their camp. But as the son of the sea god - how hard can this quest be?Return to the World of Percy Jackson in the best-selling, brand-new adventure featuring the original hero in Percy Jackson and the Olympians: Chalice of the Gods – out now!And don't miss the trio's next adventure in Percy Jackson and the Olympians: Wrath of the Triple Goddess, coming soon!
","9780141926902","isbn:9780141926902,google:AWMxzoncFBgC","97a16329-de4e-4ff9-ba30-5745ea7080e6"
"Percy Jackson and the Titan's Curse (Book 3)","Rick Riordan","","Juvenile Fiction, Fantasy & Magic, Action & Adventure, Legends; Myths; Fables, Greek & Roman, Monsters, Fantasy, Magic, Dragons; Unicorns & Mythical","Penguin Random House Children's UK","2008-05-01T00:00:00-04:00","eng","The third book in the bestselling Percy Jackson and the Olympians series. Now with a new cover look! Discover the story behind the Disney+ series. 
HALF BOY - HALF GOD - ALL HERO.It's not every day you find yourself in combat with a half-lion, half human. . .Percy Jackson has a lot on his plate. 
A powerful goddess has gone missing. The Greek gods are on the brink of war with the Titans. And there's the minor threat of a mystery beast that could destroy Mount Olympus forever. 
This time, Percy's going to need help and he's found two powerful demigods for the job. . .There's just the small problem of the prophecy. The one that has predicted not all of them will survive. 
But when you're the son of a Greek god, it happens. Right?Return to the World of Percy Jackson in the best-selling, brand-new adventure featuring the original hero in Percy Jackson and the Olympians: Chalice of the Gods – out now!And don't miss the trio's next adventure in Percy Jackson and the Olympians: Wrath of the Triple Goddess, coming soon!
","9780141919133","isbn:9780141919133,google:ZfEo1C04xdEC","4cfc1c16-90f8-432a-84e5-9656a9499cc2"
"Percy Jackson and the Battle of the Labyrinth (Book 4)","Rick Riordan","","Juvenile Fiction, Fantasy & Magic, Action & Adventure, Legends; Myths; Fables, Greek & Roman, Monsters, Fantasy, Magic, Dragons; Unicorns & Mythical","Penguin UK","2009-03-05T00:00:00-04:00","eng","The fourth book in the bestselling Percy Jackson and the Olympians series. Now with a new cover look! Discover the story behind the Disney+ series. 
HALF BOY - HALF GOD - ALL HERO.SURE, AS A DEMIGOD I’VE HAD MY FAIR SHARE OF NEAR-DEATH DISASTERS. BUT HEY, I’M STILL HERE TO TELL THE TALE . . . Percy Jackson’s enemies are back, and looking for a way to destroy Camp Half-Blood. 
To stop them, Percy and his friends must take on a new quest through the mysterious labyrinth – a sprawling underground world with deadly surprises at every turn. 
But the labyrinth was built to keep heroes out, and secrets safe within. 
As time runs out and the Titans draws near, can Percy save the day once more?Return to the World of Percy Jackson in the best-selling, brand-new adventure featuring the original hero in Percy Jackson and the Olympians: Chalice of the Gods – out now!And don't miss the trio's next adventure in Percy Jackson and the Olympians: Wrath of the Triple Goddess, coming soon!
","9780141919140","isbn:9780141919140,google:t_bu4U35xs4C","f1696cf2-cd82-4710-af81-712f5e9699b6"
"Percy Jackson and the Last Olympian (Book 5)","Rick Riordan","","Juvenile Fiction, Fantasy & Magic, Action & Adventure, Legends; Myths; Fables, Greek & Roman, Monsters, Fantasy, Magic, Dragons; Unicorns & Mythical","Penguin UK","2009-05-05T00:00:00-04:00","eng","The fifth book in the bestselling Percy Jackson and the Olympians series. Now with a new cover look! Discover the story behind the Disney+ series. 
HALF BOY - HALF GOD - ALL HERO.FOR ME, THE END OF THE WORLD STARTED WHEN A PEGASUS LANDED ON OUR CAR . . According to an ancient prophesy, one day the fate of the world will fall on Percy Jackson. 
When you’re the son of a Greek god, it happens. 
But now that day has come, as Kronos, Lord of the Titans, is beginning his attack on New York City. And the dreaded monster Typhon is also heading that way. 
So it’s Percy and his demigod friends versus untold evil . . . No pressure, right?Return to the World of Percy Jackson in the best-selling, brand-new adventure featuring the original hero in Percy Jackson and the Olympians: Chalice of the Gods – out now!And don't miss the trio's next adventure in Percy Jackson and the Olympians: Wrath of the Triple Goddess, coming soon!
","9780141962306","google:dhzuIutwYG0C,isbn:9780141962306","4f145911-2fbb-4464-8a72-ea1d401454c3"
"The Red Pyramid (The Kane Chronicles Book 1)","Rick Riordan","","Juvenile Fiction, Fantasy & Magic, Action & Adventure, Dragons; Unicorns & Mythical, Fantasy, Young Adult Fiction","Penguin Random House Children's UK","2010-05-04T00:00:00-04:00","eng","The Red Pyramid: the first book in Rick Riordan's The Kane Chronicles. 
Percy Jackson fought Greek Gods. Now the Gods of Egypt are waking in the modern world...'I GUESS IT STARTED THE NIGHT OUR DAD BLEW UP THE BRITISH MUSEUM . . .'CARTER AND SADIE KANE'S dad is a brilliant Egyptologist with a secret plan that goes horribly wrong. An explosion shatters the ancient Rosetta stone and unleashes Set, the evil god of chaos . . .Set imprisons Dr Kane in a golden coffin and Carter and Sadie must run for their lives. To save their dad, they embark on a terrifying quest from Cairo to Paris to the American South-west and discover the truth about their family's connection to the House of Life: an Egyptian temple of magic that has existed for thousands of years. 
The pharaohs of ancient Egypt are far from dead and buried. And neither, unfortunately, are their gods . . .Rick Riordan has now sold an incredible 55 million copies of his books worldwidePraise for the Percy Jackson series:'Witty and inspired. Gripping, touching and deliciously satirical...This is most likely to succeed Rowling. Puffin is on to a winner' - Amanda Craig, The Times'Puns, jokes and subtle wit, alongside a gripping storyline' - Telegraph'Perfectly paced, with electrifying moments chasing each other like heartbeats' - New York TimesRick Riordan is an award-winning mystery writer. He lives in San Antonio, Texas, with his wife and two sons. Percy Jackson and the Lightning Thief was the overall winner of the Red House Children's Book Award in 2006.The Percy Jackson series:The Lightning Thief; The Sea of Monsters; The Battle of the Labyrinth; The Titan's Curse; The Last Olympian Heroes of Olympus:The Lost Hero; The Son of Neptune; The Mark of AthenaThe Kane Chronicles:The Red Pyramid; The Throne of Fire; The Serpent's Shadow
","9780141331584","isbn:9780141331584,google:4zjrLRwM3mAC","9e9e3fdd-5d8d-4fa1-8ead-cd4c99792447"
"The Sword of Summer","Rick Riordan","","Juvenile Fiction, Action & Adventure, Legends; Myths; Fables, Young Adult Fiction, Magic, Fantasy, Fantasy & Magic","Disney Press","2017-04-04T00:00:00-04:00","eng","Magnus Chase has seen his share of trouble. Ever since that terrible night two years ago when his mother told him to run, he has lived alone on the streets of Boston, surviving by his wits, staying one step ahead of the police and truant officers. On
","9781536407853","google:l51szQEACAAJ,isbn:9781536407853","c33d2ba3-8cab-438f-8e63-7761dbfc1428"
"American Gods","Neil Gaiman","","Fiction, Action & Adventure, Fantasy, Contemporary, Dark Fantasy, Fairy Tales; Folk Tales; Legends & Mythology, Mythology, Thrillers, Supernatural, Crime","HarperCollins Publishers","2021-03-02T00:00:00-04:00","eng","From #1 New York Times bestselling author Neil Gaiman, a contemporary masterpiece combing mythology, adventure, and illusion―one of ten classic Gaiman works repackaged with elegant original watercolor art by acclaimed artist Henry Sene Yee Released from prison, Shadow finds his world turned upside down. His wife has been killed; a stranger offers him a job and Shadow, with nothing to lose, accepts. But a storm is coming. Beneath the placid surface of everyday life, a war is being fought - and the prize is the very soul of America. An inspired combination of mythology, adventure, and illusion, American Gods is a dark and kaleidoscopic journey deep into myth and across an America at once eerily familiar and utterly alien. It is, quite simply, a contemporary masterpiece. ""Piercingly observed, jaggedly poetic, ruthlessly cutting a path through graveyards of dead stars and dead money and dead feelings, this novel is the map back to dawn. 
"" -- Steve Erickson ""American Gods manages to reinvent, and reassert, the enduring importance of fantastic literature itself in this late age of the world. Dark fun, and nourishing to the soul. 
"" -- Michael Chabon
","9780063081918","isbn:9780063081918,google:CKbAzQEACAAJ","e6790734-9a46-43e4-abf6-cc789891e937"
"Gothic Dreams Steampunk","Henry Winchester","","Art, Photography, Illustrated, Fiction, Gothic, Crafts & Hobbies, Fantasy, Science Fiction, History & Criticism","","0100-12-31T20:00:00-04:00","","","","","18aa203f-3d15-4948-a6a7-90d762a17cf4"
"The Invisible Man, the Time Machine, & the War of the Worlds","H. G. Wells","","Fiction, Classics, Literary, Time Travel, Literary Collections, Dystopian","CreateSpace Independent Publishing Platform","2014-02-16T00:00:00-04:00","eng","H.G. Wells' most well-known stories are collected here for your reading pleasure; among the greatest works of science fiction to ever be produced, they were groundbreaking in their day and even over a hundred years later, still remain landmarks in the genre.
","9781495965029","isbn:9781495965029,google:D1DLoAEACAAJ","6d35c93e-5c77-4c2c-a972-1fa1a7e759a5"
